[ID],INSTITUTION,MEDSCHL,City,STATE,INSTTYPE, Tot Res Exp , Ind Res Exp , Fed Res Exp , Gross Lic Inc , Leg Fees , Lic Inc Equ , Lic Inc Other , Lic Inc Pd Oth , Lic Inc Run Roy , Reimb Leg Fee , Iss US Pat , Tot Pat App Fld , Util Pat App Fld , New Pat App Fld , For. Pat App Fld , New Prod , Act Lic , Cum Op St-Ups , Excl Lic/Opt. , Inv Dis Rec , Lic $1mm+ , Lic Gen Inc , Lic Gen Run Roy , Lic Iss , Lic w Equ , NEWCOMPSUPP , Non-Excl Lic/Opt , Opt Iss , Pro Pat App Fld , St-Ups Cld , St-Ups Formed , St-Ups in Home St , St-Ups w Equ , Tot Discl Lic , Tot Lic Lg Co , Tot Lic Sm Co , Tot Lic St-Ups , Tot Lic/Opt Exe , Lic FTEs , Oth FTEs , AirQualityIndex , Airports , Bike Score , Crime Rate , Transit Score , Median Age , Total Population , Female Population , Male Population , Foreign-born , Number of Veterans ,WalkScore
71501,Florida State University,Yes,Tallahassee,FL,5U,221119645,1703997,152654975,497282,1200000,   ,   ,   ,   ,   ,32.2,93.5,7.2,52.7,2.2,3.2,82.8,21.4,6.4,63,0.4,21,18.6,8.3, -   ,2.7,1.8,5,43.3,0.2,3.5,3.6, -   ,20,3,5.5,4.8,13.3,5,2.5,26,1,45,59.9,30,26.2,189894,100504,89390,16720,9575,30
71510,Fred Hutchinson Cancer Research Center,No,Seattle,WA,4HRI,337864102,13649638,187132418,18056932,1956045,6245638,699332,   ,11111962,1321623,6.3,45.5,0.3,20.2, -   ,6,196,3.7,2.6,41,1.8,143.4,110,13.2,0.5, -   ,10.6,1.5,20,0.3,1.5,1.3,1.5,16,6,7.8,2,14.4,3,4,40,1,71,48,60,35.5,684443,338784,345659,119840,29364,
71543,George Mason University,No,Fairfax,VA,5U,96771020,1004006,82317928,119361,376554, -   ,88470,6873,30891,38354,25,71,13.3,46.7,2.7,2.5,19,10,3,45, -   ,8,3.7,4,1.3,387,1,0.3,30.7, -   ,2,1,1,8,1,0.7,2.7,4.3,1,4,39,3,55,18,38,36,71782,37033,34749,27797,3779,54
71580,H. Lee Moffitt Cancer Center & Research Institution,No,Tampa,FL,4HRI,133090672,4665706,28880689,13903344,764070, -   ,13900750,128,2594,62239,8.1,50, -   ,33.4, -   ,6,59.1,7,5.4,43.6,0.4,40.9,18.4,10.3,2.7, -   ,4.9,9.6,33.4,1.3,2.4,1.7,1.4,23.7,5.9,5.3,8.7,19.9,2,10,33,1,55,48.4,31,35.3,369028,193511,175517,58795,20636,50
71588,Harvard University,Yes,Cambridge,MA,5U,795700000,48800000,577500000,16086297,14506042,2747663,7571439,1538498,5767195,9108393,75.7,476.3,3.5,217.8,2.2,5,608.5,63,20,389.3,1.7,277.5,128.8,51.2,8, -   ,31.2,27.3,212.2,6,10,5.7,6.7,117,37.5,29,10.3,78.5,11.3,29.9,35,3,96,31.5,70,31.5,110402,54981,55421,27757,2495,90
71648,University of Louisville,Yes,Louisville,KY,5U,179498440,4998630,68068586,1513590,1178585,1346714,140500, -   ,26376,318301,17.2,92.8,1.3,34, -   , -   ,141.5,,8,97.8,0.7,27,12,8,2, -   ,1.3,9.4,32.8,,,,,35.3,2,11.5,7,17.4,3,5.5,46,1,79,64.3,56,37.5,615389,316938,298451,37875,39364,34
71681,Iowa State University,No,Ames,IA,5U,351970275,16611420,159452037,3216722,955041, -   ,19800, -   ,3196922,377933,26.3,73.5,11.3,44,1,9.3,350,27.7,6.5,110,1,172,157.5,63.3,0.2,61.2,56.8,7.3,31.7,3.7,1.8,1.7,0.2,45.5,12.2,56.7,1.8,70.7,6.9,7.3,39,1,69,15.8,,23,65052,31238,33814,8606,2265,42
71711,Johns Hopkins University,Yes,Baltimore,MD,5U,1549936035,69139900,1256238912,17928606,8730513,307743,13135199,3236323,4485664,3835846,80.7,590.8,67,374.7,0.7,40.3,642.8,88.4,26.7,433.7,1.3,345.3,120.5,117.2,6.7,17,90.5,17.3,307,1.6,11.2,9,6.2,215.3,51.3,70.7,12.5,134.5,18.4,37.2,43,1,53,73.1,53,34.7,621849,327822,294027,49857,29540,
71717,Kansas State University Research Foundation,No,Manhattan,KS,5U,188721000,4676000,69918000,3203223,402507, -   ,1783697,1913,1419526,215350,7.8,41.2,0.2,21.3, -   ,3,59.2,6.5,5.3,42,0.2,42.8,28.7,8.5,0.5,6,3.2,2.3,21.2,0.8,1,0.5,0.3,13,2.3,7.3,1.2,10.8,4,2,44,1,54,36.2,,27.4,93916,48324,45592,8701,2986,39
71788,The General Hospital dba Massachusetts General Hospital,No,Boston,MA,4HRI,800906919,61198128,377233128,79690687,8976753,   ,   ,5061903,   ,5139067,82.2,470.8,23,266.7,23,5,604.6,77,30.7,324.7,10.6,232,92.2,95.5,3.4, -   ,64.8,26.8,214.3,0.3,8.6,4.3,2,32.6,64.5,46,9.7,122.3,16,21,35,3,69,42.4,72,31.8,669469,347320,322149,190123,18350,
71789,Massachusetts Institute of Technology (MIT),No,Cambridge,MA,5U,1633891000,119240000,1396980000,34770000,20380000,840000,3000000,3810000,30930000,10970000,245.5,799.5,135.8,506, -   ,,989.7, -   ,26.7,670.7,11,354.8,115.2,77.5,5.7, -   ,50.8,32.7,369.2,0.5,20,14,3.7,263.8,43.3,37.2,29.7,110.2,23,21,35,3,96,31.5,70,31.5,110402,54981,55421,27757,2495,90
71822,Medical College of Wisconsin Research Foundation,Yes,Milwaukee,WI,5U,138730287,9964451,107495294,1178819,525471,673333,453930,295108,51556,460279,5.8,21, -   ,10.7,0.2,3,54.5,13.7,3.5,39.3, -   ,25.2,18.8,4.5,0.8, -   ,1,1,10.3,0.2,1.8,1,0.8,8.5,2.2,1.2,2.2,5.5,3,1.2,42,1,58,63.5,49,31.6,600154,313839,286315,58321,20615,
71846,Michigan State University,Yes,East Lansing,MI,5U,558248000,9199000,272838000,8579211,1963832,82236,843917,360122,7653058,795078,39.8,106.8,2.3,47.2,0.3,5.2,359.3,12.2,9.7,125.8,0.5,154.2,92.8,34.7,0.7,28,25,10,43.7,1,1,0.8,0.7,65.3,8.2,32.8,3.7,44.7,9,10,41,1,80,24.2,,31.4,114110,59777,54333,8371,5327,54
