[ID],INSTITUTION,City,State,Transit Score,Bike Score,AirQualityIndex,Airports,Crime Rate
95148,Rochester Institution of TechNology,Rochester,NY,41.0,60,40,1,62.95
72425,University of Rochester,Rochester,NY,41.0,60,40,1,62.95
80839,Louisiana Tech University,Ruston,LA,,28,37,1,44.79
72448,University of Utah,Salt Lake City,UT,44.0,74,43,1,52.8
72134,Salk Institution for Biological Studies,San Diego,CA,37.0,43,60,1,26.89
72140,San Diego State University,San Diego,CA,37.0,43,60,1,26.89
95021,Sanford-Burnham Medical Research Institute,San Diego,CA,37.0,43,60,1,26.89
95156,The Scripps Research Institution,San Diego,CA,37.0,43,60,1,26.89
71510,Fred Hutchinson Cancer Research Center,Seattle,WA,60.0,71,40,1,47.97
95260,University of Washington/Wash. Research Foundation,Seattle,WA,60.0,71,40,1,47.97
72407,University of Notre Dame,South Bend,IN,,58,42,1,63.78
72513,Washington University in St. Louis,St. Louis,MO,43.0,58,45,1,76.01
72222,Stanford University,Stanford,CA,40.0,78,52,3,11.94
71869,Mississippi State University,Starkville,MS,,33,36,1,34.84
72031,Pennsylvania State University,State College,PA,41.0,78,39,1,24.29
92788,Oklahoma State University,Stillwater,OK,,61,45,1,28.73
72358,University of Connecticut,Storrs,CT,,45,36,1,10.47
71501,Florida State University,Tallahassee,FL,30.0,45,26,1,59.94
71580,H. Lee Moffitt Cancer Center & Research Institute,Tampa,FL,31.0,55,33,1,48.43
72431,University of South Florida,Tampa,FL,31.0,55,33,1,48.43
71180,Arizona State University,Tempe,AZ,45.0,75,55,1,44.71
92730,University of Toledo,Toledo,OH,,46,43,1,61.12
95142,Rensselaer Polytechnic Institution,Troy,NY,41.0,42,33,1,21.77
95144,Research Corporation TechNologies,Tucson,AZ,35.0,66,49,1,54.47
72345,University of Arizona,Tucson,AZ,35.0,66,49,1,54.47
20070261,University of Alabama,Tuscaloosa,AL,,37,35,1,47.41
95202,University of IlliNois Urbana Champaign,Urbana-Champaign,IL,49.0,71,43,1,40.97
20000253,University of South Dakota,Vermillion,SD,,74,28,1,25.5
71212,Baylor University,Waco,TX,,39,44,1,51.62
80010,Brandeis University,Waltham,MA,32.0,47,35,3,20.33
92620,Georgetown University,Washington,DC,100.0,92,41,3,57.97
96045,The Catholic University of America,Washington,DC,100.0,92,41,3,57.97
72075,Purdue Research Foundation,West Lafayette,IN,44.0,63,42,1,18.22
20160309,Wichita State University,Wichita,KS,20.0,44,43,1,56.21
72506,Wake Forest University,Winston-Salem,NC,,29,38,1,55.23
