ID_renamed,Act Lic,AirQualityIndex,Airports,Bike Score,Crime Rate,Cum Op St-Ups,Excl Lic/Opt.,Female Population,For. Pat App Fld,Foreign-born,Inv Dis Rec,Iss US Pat,Lic $1mm+,Lic Gen Inc,Lic Gen Run Roy,Lic Iss,Lic w Equ,Male Population,Median Age,NEWCOMPSUPP,New Pat App Fld,New Prod,Non-Excl Lic/Opt,Number of Veterans,Opt Iss,Pro Pat App Fld,St-Ups Cld,St-Ups Formed,St-Ups in Home St,St-Ups w Equ,Tot Discl Lic,Tot Lic Lg Co,Tot Lic Sm Co,Tot Lic St-Ups,Tot Lic/Opt Exe,Tot Pat App Fld,Total Population,Transit Score,Util Pat App Fld,[ID],City,Fed Res Exp,Gross Lic Inc,INSTITUTION,INSTTYPE,Ind Res Exp,Leg Fees,Lic FTEs,Lic Inc Equ,Lic Inc Other,Lic Inc Pd Oth,Lic Inc Run Roy,MEDSCHL,Oth FTEs,Reimb Leg Fee,STATE,Tot Res Exp
80010,42,35,3,47,20.33,3,1.6666666666666667,46824,2.6666666666666665,21692,40,7.333333333333333,0.6666666666666666,9.333333333333334,7.666666666666667,3,0.6666666666666666,41985,42.3,1,17.333333333333332,1.5,1.3333333333333333,1814,0.6666666666666666,11.333333333333334,0,1,1,2,10.666666666666666,0,2.6666666666666665,1,3.6666666666666665,31.333333333333332,88809,32,3.3333333333333335,80010,Waltham,49035918,2132599,Brandeis University,5U,13553638,811622,3.5,0,211929,258706,1920670,No,1.5,372839,MA,62589556
80498,3,44,1,61,34.96,0,0.5,101751,2.8333333333333335,50980,8,3.8333333333333335,0,2.1666666666666665,2.1666666666666665,0.5,0.16666666666666666,101964,31.7,0,7.833333333333333,0.3333333333333333,0,4988,0.16666666666666666,2.3333333333333335,0,0,0,0,0.6666666666666666,0.16666666666666666,0.5,0,0.6666666666666666,6.666666666666667,203715,,2.6666666666666665,80498,Dekalb,9811366,92568,Northern Illinois University,5U,781587,427039,1,0,80000,0,12568,No,1,0,IL,13712855
80648,0.25,38,1,42,39.28,0,0,,0,,4.666666666666667,0,0,0.25,0.25,0.25,0,,,0,2,0,0.25,,0,0.75,0,0,0,0,0.75,0,0,0,0.25,2,,,1.25,80648,Pocatello,13205788,0,Idaho State University,5U,937969,32016,1,0,0,0,0,No,1,0,ID,14923721
80658,34.25,42,3,67,57.59,1,4.25,826172,47,205339,52.25,5.75,0,24,16.5,7.75,1,741270,34.1,0,83.5,0.5,3.5,61995,1,29.5,0,0.75,0.75,0.75,6.5,1.5,6.5,0.75,8.75,39.5,1567442,67,7,80658,Philadelphia,54739667,418374,Children's Hospital of Philadelphia,4HRI,4053507,1109724,1,0,104593,0,313781,No,9,246809,PA,86613396
80678,131.5,,,,,27,9.833333333333334,,3.75,,118.5,18.666666666666668,1,87.16666666666667,58.166666666666664,23.666666666666668,1.1666666666666667,,,64.66666666666667,49,3.3333333333333335,13.833333333333334,,2.6666666666666665,43,1,4,3.1666666666666665,1.4,31.333333333333332,2,19.5,4,26.333333333333332,81,,,5,80678,,126481000,11104217,Louisiana State University System,5U,14576000,1054560,8.17,0,755607,220093,10348610,Yes,4.5,256765,LA,352767000
80839,12.833333333333334,37,1,28,44.79,9.666666666666666,2.3333333333333335,,0.3333333333333333,,19.666666666666668,6.833333333333333,0,8,3.6666666666666665,2.5,0.3333333333333333,,,0.5,9.6,0.3333333333333333,0.16666666666666666,,1.5,5.833333333333333,0.16666666666666666,1.3333333333333333,1.1666666666666667,0.3333333333333333,4.166666666666667,1.1666666666666667,1.1666666666666667,1.3333333333333333,4,14.166666666666666,,,3.6666666666666665,80839,Ruston,5776387,160289,Louisiana Tech University,5U,708252,109255, ,0,25289,0,135000,No, ,18761,KY,23826668
81039,689.6666666666666,44,3,49,58.01,35.666666666666664,18,1148942,0,696210,99.5,8.5,2.5,147.83333333333334,72,42.166666666666664,1.6666666666666667,1149686,32.6,2.6666666666666665,35.666666666666664,5.666666666666667,24.166666666666668,71898,4.5,50,0.6,4.6,3,1.2,58.833333333333336,11.5,30.833333333333332,4.333333333333333,46.666666666666664,53.333333333333336,2298628,36,0,81039,Houston,233447447,5992122,Baylor College of Medicine,5U,14780570,569018,6,0,2124778, ,3867344,Yes,3,58375,TX,377877523
81632,462,41,1,55,35.39,76,18.25,50825,1.5,11948,282.75,68.25,2.75,143.75,85.75,36,3.75,47627,32.8,22.25,139.25,3,17.75,3643,15,129.25,2,9,6.5,7,67.5,14,23,14,51,243.5,98452,52,9.5,81632,Albany,487446830,18270234,The Research Foundation for The State University of New York,5U,191923557,3490556,17.3,1893922,7227990,32308,9148322,Yes,10.05,1098665,NY,899299704
82857,0,29,1,41,49.75,0,,448828,0,85650,1,0,0,2,1,,0,419203,35.7,0,1,,,75432,,0,0,0,0,0,,0,0,0,,1,868031,21,1,82857,Jacksonville,4686424,10090,University of North Florida,5U,285785,12000, ,0,10090,0,0,No, ,0,FL,8225385
82984,231.83333333333334,41,1,59,30.290000000000003,44.333333333333336,19.5,138802,43.333333333333336,22958,191.5,25,1,100.16666666666667,75.83333333333333,39.166666666666664,3.8333333333333335,138544,32.3,1,171.33333333333334,11.333333333333334,19.666666666666668,14694,9.666666666666666,84.66666666666667,1,7.5,6.333333333333333,3.1666666666666665,81.66666666666667,9.333333333333334,30.5,9,48.833333333333336,138.5,277346,24,40,82984,Lincoln,167750998,6511937,University of Nebraska,5U,19670341,1203568,10,0,4845673,181176,1666264,Yes,12,88543,NE,416780138
83462,702.8333333333334,39,1,57,21.22,41.666666666666664,31.333333333333332,57282,0.5,17763,376.1666666666667,63.166666666666664,7.333333333333333,315.5,194.83333333333334,65.66666666666667,12.666666666666666,54934,35,2,101.83333333333333,90.5,34.333333333333336,6888,17.333333333333332,100.16666666666667,1.5,5.333333333333333,3,5,156.66666666666666,33.833333333333336,43.666666666666664,5.5,83,274.3333333333333,112216,,1.1666666666666667,83462,Rochester,264000000,37198636,Mayo Foundation for Medical Education and Research,4HRI,118000000,3725770,18.8,10863591,6461448,425300,19873597,Yes,11.51,901575,MN,663000000
83581,154,33,1,78,23.49,39.666666666666664,17.166666666666668,80288,1.5,9704,111.66666666666667,18.5,0.3333333333333333,44.833333333333336,25.833333333333332,26.166666666666668,3.5,80893,29.600000000000005,0.75,52.166666666666664,5,9,8425,5,48.666666666666664,0.8333333333333334,5.333333333333333,5.333333333333333,3,46.5,7.666666666666667,19,5.166666666666667,31.166666666666668,109.83333333333333,161181,28,1.5,83581,Fort Collins,219320565,4780882,Colorado State University,5U,11345172,638301,4,0,2508822,1570,2272060,No,8,205713,CO,317218632
84319,1166.6666666666667,36,1,39,39.43,49,44.833333333333336,65148,0,12868,157.33333333333334,35.833333333333336,0.16666666666666666,401.1666666666667,293.1666666666667,98.33333333333333,0.3333333333333333,57415,26.5,7,57,34,53.5,3953,61,45.166666666666664,1.5,3.6666666666666665,3.1666666666666665,0.3333333333333333,126.33333333333333,36.5,115.83333333333333,7,159.33333333333334,107.83333333333333,122563,,7.833333333333333,84319,Athens,132118000,6527556,University of Georgia,5U,14737000,1982632,6.95,0,949203,708011,5578353,No,5.5,494189,GA,374264000
85863,850.5,27,1,69,48.21,122.83333333333333,54.333333333333336,69330,5,15272,331,90,3.6666666666666665,546.1666666666666,338.5,115,13.833333333333334,60803,26,0,173.5,11.333333333333334,60.666666666666664,4788,35,143.5,2.6666666666666665,13.833333333333334,9.333333333333334,5,146.66666666666666,24.333333333333332,101,24.666666666666668,150,302.3333333333333,130133,,20.166666666666668,85863,Gainesville,356125197,32972356,University of Florida,5U,59917360,6492222,13,186280,536426,122423,32249650,Yes,13,3116456,FL,543580758
