YEAR,[ID],INSTITUTION,MEDSCHL,City,STATE,INSTTYPE,Tot Res Exp,Tot Lic/Opt Exe,Fed Res Exp,Ind Res Exp,Leg Fees,Reimb Leg Fee,Act Lic,Excl Lic/Opt.,Lic w Equ,Tot Lic Lg Co,Tot Lic Sm Co,Tot Lic St-Ups,Tot Discl Lic,Non-Excl Lic/Opt,Lic Iss,Opt Iss,NEWCOMPSUPP,Lic Inc Equ,Lic $1mm+,Lic Gen Inc,Lic Gen Run Roy,Lic Inc Other,Lic Inc Pd Oth,Gross Lic Inc,Lic Inc Run Roy,Inv Dis Rec,New Pat App Fld,For. Pat App Fld,Pro Pat App Fld,Util Pat App Fld,Tot Pat App Fld,Iss US Pat,New Prod,Cum Op St-Ups,St-Ups Cld,St-Ups in Home St,St-Ups Formed,St-Ups w Equ,Lic FTEs,Oth FTEs,Transit Score,Bike Score,AirQualityIndex,Airports,Crime Rate,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born
2011,72597,University of North Carolina Charlotte,No,Charlotte,NC,5U,29829730,7,18552669,5551607,295476,4207,57,1,0,6,1,0,7,0,1,6,3,0,0,5,2,28448,0,28592,144,53,54,5,34,15,52,10,1,42,0,3,3,2,3,1,27,31,39,1,45.8,34.3,396646,430475,827121,36046,128897
2010,72597,University of North Carolina Charlotte,No,Charlotte,NC,5U,34375376,6,20395380,6943106,201122,0,50,1,1,4,1,1,6,0,1,5,0,39617,0,9,2,5207,0,45685,861,37,55,7,44,4,48,6,,39,0,4,4,0,3,1,27,31,39,1,45.8,34.3,396646,430475,827121,36046,128897
2015,80010,Brandeis University,No,Waltham,MA,5U,62589556,3,49035918,13553638,811622,372839,46,1,0,0,3,0,4,2,3,0,3,0,1,11,10,211929,258706,2132599,1920670,66,18,1,14,3,42,13,1,6,0,0,0,4,3.5,1.5,32,47,35,3,20.33,42.3,41985,46824,88809,1814,21692
2014,80010,Brandeis University,No,Waltham,MA,5U,61543721,4,47176311,14367410,1269895,903703,53,3,2,0,2,2,17,1,4,0,0,0,1,11,9,214583,273005,2084195,1869612,26,17,6,10,1,21,6,2,2,0,2,2,2,2,1,32,47,35,3,20.33,42.3,41985,46824,88809,1814,21692
2013,80010,Brandeis University,No,Waltham,MA,5U,62203139,4,45338139,16865000,738583,347769,27,1,0,0,3,1,11,1,2,2,0,0,0,6,4,0,242413,1544516,1544516,28,17,1,10,6,31,3,,1,0,1,1,0,2,1,32,47,35,3,20.33,42.3,41985,46824,88809,1814,21692
2015,80498,Northern Illinois University,No,Dekalb,IL,5U,13712855,3,9811366,781587,427039,0,6,2,1,1,2,0,3,0,2,1,0,0,0,5,5,80000,0,92568,12568,6,4,2,1,1,4,8,,0,0,0,0,0,1,1,,61,44,1,34.96,31.7,101964,101751,203715,4988,50980
2014,80498,Northern Illinois University,No,Dekalb,IL,5U,8956937,0,7437441,524213,341860,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,15033,15033,4,10,5,2,3,8,4,,0,0,0,0,0,0,2,,61,44,1,34.96,31.7,101964,101751,203715,4988,50980
2013,80498,Northern Illinois University,No,Dekalb,IL,5U,8591851,1,7183563,587976,421978,0,3,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1000,0,23729,22729,8,7,1,3,3,8,3,,0,0,0,0,0,0,2,,61,44,1,34.96,31.7,101964,101751,203715,4988,50980
2012,80498,Northern Illinois University,No,Dekalb,IL,5U,7100256,0,5809525,742823,315880,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,15872,15872,12,11,5,3,3,9,5,0,0,0,0,0,0,0,2,,61,44,1,34.96,31.7,101964,101751,203715,4988,50980
2011,80498,Northern Illinois University,No,Dekalb,IL,5U,23866445,0,22668360,768866,148510,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,30373,30373,7,6,2,3,1,4,2,1,0,0,0,0,0,0,2,,61,44,1,34.96,31.7,101964,101751,203715,4988,50980
2010,80498,Northern Illinois University,No,Dekalb,IL,5U,15346935,0,12849803,340457,107052,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,10378,10378,11,9,2,2,5,7,1,0,0,0,0,0,0,0,2,,61,44,1,34.96,31.7,101964,101751,203715,4988,50980
2013,80648,Idaho State University,No,Pocatello,ID,5U,14923721,0,13205788,937969,32016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,3,1,4,0,0,0,0,0,0,0,1,1,,42,38,1,39.28,,,,,,
2012,80648,Idaho State University,No,Pocatello,ID,5U,17664867,0,16095401,1022220,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,42,38,1,39.28,,,,,,
2011,80648,Idaho State University,No,Pocatello,ID,5U,18195432,0,17149763,519110,13824,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,,,,,0,0, , ,,42,38,1,39.28,,,,,,
2010,80648,Idaho State University,No,Pocatello,ID,5U,22079571,1,15939050,5322646,3407,43123,1,0,0,,,,3,1,1,0,,0,0,1,1,0,0,0,0,,3,0,0,3,3,0,,,,,0,, , ,,42,38,1,39.28,,,,,,
2013,80658,Children's Hospital of Philadelphia,No,Philadelphia,PA,4HRI,86613396,9,54739667,4053507,1109724,246809,37,5,2,0,7,2,10,2,7,2,0,0,0,18,9,104593,0,418374,313781,50,141,93,48,0,48,7,,3,0,2,2,2,1,9,67,67,42,3,57.59,34.1,741270,826172,1567442,61995,205339
2012,80658,Children's Hospital of Philadelphia,No,Philadelphia,PA,4HRI,185415000,7,138638000,5540137,957421,381109,30,4,0,0,7,0,7,3,7,0,0,0,0,18,9,139992, ,469786,329794,53,94,52,30,12,42,6,0,0,0,0,0,0,1,9,67,67,42,3,57.59,34.1,741270,826172,1567442,61995,205339
2011,80658,Children's Hospital of Philadelphia,No,Philadelphia,PA,4HRI,190107671,12,152636140,8869272,804562,242938,35,6,2,4,7,1,2,4,10,2,0,0,0,30,22,236496,0,576955,340459,56,81,43,22,16,38,5,,1,0,1,1,1,1,9,67,67,42,3,57.59,34.1,741270,826172,1567442,61995,205339
2010,80658,Children's Hospital of Philadelphia,No,Philadelphia,PA,4HRI,219579000,7,115101703,6543342,737702,251129,35,2,0,2,5,0,7,5,7,0,0,0,0,30,26,272588,0,303748,31160,50,18,0,18,0,30,5,1,0,0,0,0,0,1,9,67,67,42,3,57.59,34.1,741270,826172,1567442,61995,205339
2015,80678,Louisiana State University System,Yes,,LA,5U,352767000,27,126481000,14576000,1054560,256765,121,11,1,,13,7,33,12,23,4,194,0,1,87,39,755607,220093,11104217,10348610,152,65,6,53,6,114,24,2,33,0,4,7,3,8.17,4.5,,,,,,,,,,,
2014,80678,Louisiana State University System,Yes,,LA,5U,361532000,29,138511000,17611000,909137,248627,136,13,2,1,26,2,43,15,28,1,,0,1,82,39,626824,63009,10547492,9920668,142,53,,,,85,23,1,27,3,2,2,1,7.07,4,,,,,,,,,,,
2013,80678,Louisiana State University System,Yes,,LA,5U,363148000,24,143753000,20224000,843109,352011,147,11,1,4,17,3,39,10,21,3,0,0,1,117,102,543405,33247,10148412,9605007,112,44,5,36,3,80,17,4,,,3,3,,7.5,3,,,,,,,,,,,
2012,80678,Louisiana State University System,Yes,,LA,5U,369640000,19,147312000,21659000,1034713,301545,119,7,0,4,12,3,20,11,18,1,0, ,1,86,56, ,28702,10322805, ,88,34,,,,64,14,3,21,1,3,3,0,6.5,2.5,,,,,,,,,,,
2011,80678,Louisiana State University System,Yes,,LA,5U,413044000,33,178215000,21807000,1063205,296454,144,9,1,0,29,4,26,21,30,3,,0,1,86,67,666029,306878,11620443,10954414,96,51,4,36,11,60,20,6,,,3,4,1,6.5,4.75,,,,,,,,,,,
2010,80678,Louisiana State University System,Yes,,LA,5U,416845000,26,177532000,20891000,1081865,297657,122,8,2,1,20,5,27,14,22,4,,0,1,65,46,227852,23183,9575115,9347263,121,47,0,47,0,83,14,4,,0,4,5,2,7,4.75,,,,,,,,,,,
2015,80839,Louisiana Tech University,No,Ruston,KY,5U,23826668,6,5776387,708252,109255,18761,17,3,1,1,0,3,6,1,4,2,0,0,0,11,5,25289,0,160289,135000,13,,0,6,5,11,7,0,14,0,3,3,1, , ,,28,37,1,44.79,,,,,,
2014,80839,Louisiana Tech University,No,Ruston,KY,5U,22941594,6,7742404,803065,166041,48274,12,3,0,4,0,2,6,0,3,3,0,0,0,12,5,119770,0,222270,102500,17,5,0,5,0,12,9,,11,0,2,2,0,1,0.5,,28,37,1,44.79,,,,,,
2013,80839,Louisiana Tech University,No,Ruston,KY,5U,24949000,3,8881000,585000,145883,25452,12,2,0,0,2,1,2,0,2,1,0,0,0,7,3,95842,0,225842,130000,18,6,0,6,0,18,7,1,9,0,0,1,0,1,0.5,,28,37,1,44.79,,,,,,
2012,80839,Louisiana Tech University,No,Ruston,LA,5U,26546000,5,9835000,320000,136041,22600,12,4,1,2,2,1,5,0,4,1,1,0,0,5,3,1500,0,31500,30000,28,8,0,8,0,17,7,,8,1,1,1,1,1,0.5,,28,37,1,44.79,,,,,,
2011,80839,Louisiana Tech University,No,Ruston,LA,5U,27583000,2,11952000,249000,160800,48300,12,1,0,0,2,0,3,0,1,1,2,0,0,8,3,11500,0,31500,20000,18,16,2,7,7,14,7,0,8,0,0,0,0,1,0.5,,28,37,1,44.79,,,,,,
2010,80839,Louisiana Tech University,No,Ruston,LA,5U,26020000,2,10806000,298000,233700,128400,12,1,0,0,1,1,3,0,1,1,0,0,0,5,3,3500,0,33500,30000,24,13,0,3,10,13,4,,8,0,1,1,0,1,0.5,,28,37,1,44.79,,,,,,
2015,81039,Baylor College of Medicine,Yes,Houston,TX,5U,377877523,54,233447447,14780570,569018,58375,767,25,1,20,24,10,79,25,50,4,5,0,2,152,58,2124778, ,5992122,3867344,112,50,0,50,0,83,16,4,44,1,6,9,1,6,3,36,49,44,3,58.01,32.6,1149686,1148942,2298628,71898,696210
2014,81039,Baylor College of Medicine,Yes,Houston,TX,5U,335488469,57,203880570,18855971,394215,98483,745,21,2,6,41,10,75,28,49,8,6,0,2,123,67,1242913, ,5513792,4270879,118,43,,,,56,3,5,38,1,6,8,2,6,3,36,49,44,3,58.01,32.6,1149686,1148942,2298628,71898,696210
2013,81039,Baylor College of Medicine,Yes,Houston,TX,5U,364308988,38,230599966,20238866,538848,105296,696,14,0,12,26,0,54,21,35,3,5,0,3,138,72,9698316, ,13785624,4087308,116,41,,,,55,4,6,34,1,0,0,0,6,3,36,49,44,3,58.01,32.6,1149686,1148942,2298628,71898,696210
2012,81039,Baylor College of Medicine,Yes,Houston,TX,5U,367556946,36,248096852,18712385,575000,40814,679,13,2,9,23,4,39,21,34,2,0,0,3,151,79,1717205, ,8026424,6309219,90,32,,,,50,8,8,35,0,2,4,2,7,3,36,49,44,3,58.01,32.6,1149686,1148942,2298628,71898,696210
2011,81039,Baylor College of Medicine,Yes,Houston,TX,5U,373381000,47,352485200,20895800,316000,96000,646,17,2,14,31,2,49,25,42,5,0,0,2,166,79,3055000, ,9925000,6870000,83,21,,,,36,12,5,32,0,1,2,1,5,3,36,49,44,3,58.01,32.6,1149686,1148942,2298628,71898,696210
2010,81039,Baylor College of Medicine,Yes,Houston,TX,5U,403351000,48,319885000,13467000,553000,109000,605,18,3,8,40,0,57,25,43,5,0,0,3,157,77,2575000, ,8485000,5910000,78,27,,,,40,8,6,31,,,,,7,3,36,49,44,3,58.01,32.6,1149686,1148942,2298628,71898,696210
2015,81632,The Research Foundation for The State University of New York,Yes,Albany,NY,5U,899299704,71,487446830,191923557,3490556,1098665,404,23,5,15,36,20,94,28,51,20,29,1893922,4,150,89,7227990,32308,18270234,9148322,296,127,0,124,7,246,80,2,82,0,8,10,10,17.3,10.05,52,55,41,1,35.39,32.8,47627,50825,98452,3643,11948
2014,81632,The Research Foundation for The State University of New York,Yes,Albany,NY,5U,1003875997,39,497616763,175175286,3080522,839520,383,18,6,6,16,17,66,9,27,12,25,544676,4,140,100,5118244,114747,13200926,7538005,293,148,6,120,22,242,76,5,73,4,10,12,6,17.25,11.5,52,55,41,1,35.39,32.8,47627,50825,98452,3643,11948
2013,81632,The Research Foundation for The State University of New York,Yes,Albany,NY,5U,983229277,39,523103353,208793500,3020387,709806,514,9,3,15,16,8,48,16,25,14,20,0,1,143,79,1382921,125332,8819142,7436221,254,131,0,123,8,246,66,1,74,2,3,4,11,16,10.35,52,55,41,1,35.39,32.8,47627,50825,98452,3643,11948
2012,81632,The Research Foundation for The State University of New York,Yes,Albany,NY,5U,930160728,55,567504709,88198028,2835846,700417,547,23,1,20,24,11,62,18,41,14,15,0,2,142,75,1382361,13698,10540396,9158035,288,151,0,150,1,240,51,4,75,2,5,10,1,15.9,10.86,52,55,41,1,35.39,32.8,47627,50825,98452,3643,11948
2014,82857,University of North Florida,No,Jacksonville,FL,5U,8225385,,4686424,285785,12000,0,0,,0,0,0,0,,,,,0,0,0,2,1,10090,0,10090,0,1,1,0,0,1,1,0,,0,0,0,0,0, , ,21,41,29,1,49.75,35.7,419203,448828,868031,75432,85650
2015,82984,University of Nebraska,Yes,Lincoln,NE,5U,416780138,38,167750998,19670341,1203568,88543,295,14,2,10,22,6,61,18,32,6,0,0,1,127,81,4845673,181176,6511937,1666264,163,201,55,77,49,146,28,10,65,0,4,5,1,10,12,24,59,41,1,30.29,32.3,138544,138802,277346,14694,22958
2014,82984,University of Nebraska,Yes,Lincoln,NE,5U,404692505,37,170460041,19243634,1306436,59840,266,18,2,9,22,6,60,12,30,7,0,0,2,106,62,5001243,1013720,6159350,1158107,160,180,44,87,49,146,24,10,60,1,4,6,3,10.5,10.9,24,59,41,1,30.29,32.3,138544,138802,277346,14694,22958
2013,82984,University of Nebraska,Yes,Lincoln,NE,5U,394448464,65,178984508,17386171,1502173,326257,273,32,11,14,37,14,115,21,53,12,6,0,1,84,147,7239537,3022883,9027315,1787778,200,227,67,107,53,183,23,20,55,0,13,14,8,10.5,12.65,24,59,41,1,30.29,32.3,138544,138802,277346,14694,22958
2012,82984,University of Nebraska,Yes,Lincoln,NE,5U,394940148,58,188775140,16525013,1205984,120182,246,18,4,7,43,8,88,25,43,15,0,0,1,100,58,8175978,0,9524695,1348717,265,181,41,105,35,161,28,16,40,3,6,8,3,9,13,24,59,41,1,30.29,32.3,138544,138802,277346,14694,22958
2011,82984,University of Nebraska,Yes,Lincoln,NE,5U,368331834,48,192018754,14564109,1151970,197087,181,11,3,8,29,11,105,27,38,10,0,418563,1,83,54,915187,8893,16752176,15418426,202,137,30,74,33,116,23,3,24,0,4,5,3,11,11,24,59,41,1,30.29,32.3,138544,138802,277346,14694,22958
2010,82984,University of Nebraska,Yes,Lincoln,NE,5U,329485904,47,176620438,15579457,882863,423155,130,24,1,8,30,9,61,15,39,8,0,68080,0,101,53,1841119,11510,3715464,1806265,159,102,23,58,21,79,24,9,22,2,7,7,1,11,13,24,59,41,1,30.29,32.3,138544,138802,277346,14694,22958
2015,83462,Mayo Foundation for Medical Education and Research,Yes,Rochester,MN,4HRI,663000000,96,264000000,118000000,3725770,901575,786,41,19,33,56,7,196,43,84,12,2,10863591,8,326,201,6461448,425300,37198636,19873597,559,142,0,140,2,321,67,130,54,0,3,7,6,18.8,11.51,,57,39,1,21.22,35,54934,57282,112216,6888,17763
2014,83462,Mayo Foundation for Medical Education and Research,Yes,Rochester,MN,4HRI,648000000,94,272000000,100000000,3529628,591851,752,41,21,33,53,8,159,33,74,20,3,10227070,8,332,207,14616778,575921,41497523,16653675,437,108,0,106,2,273,73,96,47,1,3,7,7,16.65,13.56,,57,39,1,21.22,35,54934,57282,112216,6888,17763
2013,83462,Mayo Foundation for Medical Education and Research,Yes,Rochester,MN,4HRI,646000000,86,280000000,89000000,4115571,2046321,720,28,10,34,47,5,105,36,64,22,1,2624619,8,316,200,10257223,586532,27778237,14896395,335,87,1,85,1,251,65,86,42,1,4,5,5,16.39,13.95,,57,39,1,21.22,35,54934,57282,112216,6888,17763
2012,83462,Mayo Foundation for Medical Education and Research,Yes,Rochester,MN,4HRI,634000000,85,293000000,93000000,4227244,1226814,684,30,10,31,49,5,178,31,61,24,,3314022,8,308,202,10493465,648871,28755240,14947753,303,87,1,84,2,252,61,88,38,2,4,5,5,16.48,12.28,,57,39,1,21.22,35,54934,57282,112216,6888,17763
2011,83462,Mayo Foundation for Medical Education and Research,Yes,Rochester,MN,4HRI,595000000,64,284000000,82000000,3124009,944899,646,24,4,33,28,3,143,31,55,9,,2574138,6,309,194,6727018,601508,28318039,19016883,290,91,0,91,0,263,45,60,35,2,1,3,2,14.82,18.28,,57,39,1,21.22,35,54934,57282,112216,6888,17763
2010,83462,Mayo Foundation for Medical Education and Research,Yes,Rochester,MN,4HRI,555000000,73,269000000,74000000,2924779,594140,629,24,12,39,29,5,159,32,56,17,,1487428,6,302,165,7381839,72791,22463883,13594616,333,96,1,95,0,286,68,83,34,3,3,5,5,15.25,17.92,,57,39,1,21.22,35,54934,57282,112216,6888,17763
2015,83581,Colorado State University,No,Fort Collins,CO,5U,317218632,41,219320565,11345172,638301,205713,201,26,3,17,23,5,47,10,36,5,,0,2,53,24,2508822,1570,4780882,2272060,92,53,0,49,1,117,29,11,51,1,5,5,3,4,8,28,78,33,1,23.49,29.6,80893,80288,161181,8425,9704
2014,83581,Colorado State University,No,Fort Collins,CO,5U,307978156,28,219855563,23568618,605938,255185,181,17,1,6,18,4,38,6,23,5,0,0,0,49,28,168904,11457,1270904,1102000,122,57,4,53,0,116,25,,47,1,4,4,1,4,8,28,78,33,1,23.49,29.6,80893,80288,161181,8425,9704
2013,83581,Colorado State University,No,Fort Collins,CO,5U,313238032,26,219855563,19039791,406799,117389,164,14,4,8,11,7,39,11,25,1,1,100000,0,41,27,68723,17139,1153043,984320,113,64,0,59,5,110,21,,44,1,7,7,4,4,8,28,78,33,1,23.49,29.6,80893,80288,161181,8425,9704
2012,83581,Colorado State University,No,Fort Collins,CO,5U,375912362,28,252287198,15492110,375767,118831,144,17,4,2,21,5,51,8,25,3,1,0,0,44,29,125917,20537,1055558,929641,114,51,0,49,2,109,11,7,37,2,6,6,4,4,8,28,78,33,1,23.49,29.6,80893,80288,161181,8425,9704
2011,83581,Colorado State University,No,Fort Collins,CO,5U,330783824,31,236565834,14719620,447368,234946,126,16,7,6,20,5,47,8,24,7,1,0,0,43,25,75562,20924,1311129,1235567,115,36,0,35,1,93,17,1,32,0,5,5,3,3.5,9,28,78,33,1,23.49,29.6,80893,80288,161181,8425,9704
2010,83581,Colorado State University,No,Fort Collins,CO,5U,302895453,33,211660949,17461903,301017,171588,108,13,2,7,21,5,57,11,24,9,,0,0,39,22,143287,30526,1109841,966554,114,52,5,47,0,114,8,1,27,0,5,5,3,3.5,6,28,78,33,1,23.49,29.6,80893,80288,161181,8425,9704
2015,84319,University of Georgia,No,Athens,GA,5U,374264000,170,132118000,14737000,1982632,494189,1330,36,1,25,138,7,84,71,107,63,5,0,0,382,270,949203,708011,6527556,5578353,128,63,0,43,1,98,44,55,54,4,4,6,1,6.95,5.5,,39,36,1,39.43,26.5,57415,65148,122563,3953,12868
2014,84319,University of Georgia,No,Athens,GA,5U,355471000,139,126164000,14048000,2123943,678271,1324,30,1,25,108,6,160,50,80,59,1,3749,0,422,282,1669617,157410,6576756,4903390,160,44,0,39,0,104,37,28,52,1,4,5,1,4.95,5.5,,39,36,1,39.43,26.5,57415,65148,122563,3953,12868
2013,84319,University of Georgia,No,Athens,GA,5U,350225000,151,131824000,5260000,2317129,913588,1293,26,0,16,128,7,120,56,82,69,1,40571,0,422,318,1185571,198873,8260195,7034053,140,41,0,29,12,94,43,46,48,1,3,3,0,5.95,5.5,,39,36,1,39.43,26.5,57415,65148,122563,3953,12868
2012,84319,University of Georgia,No,Athens,GA,5U,351395000,232,137710000,4119000,2355316,811220,1230,132,0,115,116,1,177,46,178,54,12,146451,0,436,283,1335713,184949,7513547,6031383,203,75,0,65,10,122,33,17,46,3,0,0,0,5.7,5,,39,36,1,39.43,26.5,57415,65148,122563,3953,12868
2011,84319,University of Georgia,No,Athens,GA,5U,245166000,152,137319000,12468000,2191978,550522,1087,19,0,24,116,12,91,56,75,77,9,0,0,406,303,1176205,122211,6866280,5690075,169,56,0,45,11,108,28,32,49,0,4,4,0,5.7,4,,39,36,1,39.43,26.5,57415,65148,122563,3953,12868
2010,84319,University of Georgia,No,Athens,GA,5U,230803000,112,118862000,13204000,2526356,711870,736,26,0,14,89,9,126,42,68,44,14,372348,1,339,303,894387,28831,6672555,5405820,144,63,0,50,13,121,30,26,45,0,4,4,0,6,4.5,,39,36,1,39.43,26.5,57415,65148,122563,3953,12868
2015,85863,University of Florida,Yes,Gainesville,FL,5U,543580758,261,356125197,59917360,6492222,3116456,1631,53,24,16,217,28,147,177,230,31,0,186280,3,906,561,536426,122423,32972356,32249650,337,206,0,174,3,319,118,25,133,3,13,15,3,13,13,,69,27,1,48.21,26,60803,69330,130133,4788,15272
2014,85863,University of Florida,Yes,Gainesville,FL,5U,527090710,147,382485173,41321420,6362515,5756824,815,69,14,36,76,35,163,47,116,31,,175000,5,551,326,3601047,121913,32865349,29089302,352,206,0,168,38,352,110,25,138,4,15,16,5,13.5,11.5,,69,27,1,48.21,26,60803,69330,130133,4788,15272
2013,85863,University of Florida,Yes,Gainesville,FL,5U,544936847,140,377140491,36308747,5410585,3096885,746,48,23,40,68,32,172,52,100,40,,0,3,510,341,964741,525995,28067988,27103247,335,152,0,128,24,291,107,6,136,3,6,16,8,13.5,12.5,,69,27,1,48.21,26,60803,69330,130133,4788,15272
2012,85863,University of Florida,Yes,Gainesville,FL,5U,572777695,129,394054281,29517716,5026574,3628889,681,50,9,16,89,24,165,51,101,28,0,1525423,4,471,323,3068937,108643,33922249,29327889,345,150,5,126,19,278,60,4,123,2,10,15,5,20,5,,69,27,1,48.21,26,60803,69330,130133,4788,15272
2011,85863,University of Florida,Yes,Gainesville,FL,5U,559156034,131,381254604,26489530,4557624,2773006,611,79,8,24,92,15,111,14,93,38,,353252,4,501,243,1321279,434600,29493522,27818991,322,156,0,145,11,286,86,2,108,0,7,12,5,17,6.5,,69,27,1,48.21,26,60803,69330,130133,4788,15272
2010,85863,University of Florida,Yes,Gainesville,FL,5U,535877029,92,355000567,27653451,4346136,2408283,619,27,5,14,64,14,122,23,50,42,,70718,3,338,237,1078108,196411,29235006,28086180,295,171,25,120,26,288,59,6,99,4,5,9,4,17,6.5,,69,27,1,48.21,26,60803,69330,130133,4788,15272
2015,85917,Nationwide Children's Hospital,No,Columbus,OH,4HRI,117500000,9,48318382,16800000,818215,615661,35,5,1,2,4,3,11,3,8,1,0,0,0,9,0,835000,53655,835000,0,77,39,0,0,0,67,7,2,7,0,1,1,1,4,3,30,48,43,1,47.43,32.5,413981,435086,849067,40238,101129
2015,85951,Colorado School of Mines,No,Golden,CO,5U,63900000,21,39400000,24500000, , ,42,7,0,6,12,3,26,2,9,12,0, ,,34,, , ,121217, ,49,38,,38,,,10,,10,,,0,5, , ,,56,44,1,14.58,37.8,54866,58251,113117,6512,11361
2014,85951,Colorado School of Mines,No,Golden,CO,5U,53755323,14,27120830,24497614, , ,38,4,1,4,8,2,20,2,6,8,0, ,,31,, ,0,95102, ,42,33,0,33,0,33,12,,11,0,0,0,6,1,0,,56,44,1,14.58,37.8,54866,58251,113117,6512,11361
2013,85951,Colorado School of Mines,No,Golden,CO,5U,61765204,6,27167359,34597845, , ,33,3,1,3,1,2,8,1,4,2,4, ,0,11,5, ,0,89657, ,33,17,0,17,0,32,4,0,11,1,1,1,6,1,0,,56,44,1,14.58,37.8,54866,58251,113117,6512,11361
2012,85951,Colorado School of Mines,No,Golden,CO,5U,55714061,9,24793002,30921059, , ,31,5,1,4,2,3,13,1,6,3,5, ,0,13,2, , ,124480, ,33,22,0,22,0,,,2,11,0,2,2,5,1,0,,56,44,1,14.58,37.8,54866,58251,113117,6512,11361
2011,85951,Colorado School of Mines,No,Golden,CO,5U,46700070,7,25292373,21407697, , ,26,5,2,2,3,2,11,1,6,1,5, ,,9,, , ,120000, ,24,16,,,,,4,1,10,0,2,2,4,1,0,,56,44,1,14.58,37.8,54866,58251,113117,6512,11361
2015,86076,University of Virginia Patent Foundation,Yes,Charlottesville,VA,5U,373218000,71,203401000,17404000,1828038,1142951,392,15,3,27,37,7,126,45,60,11,0,0,0,201,149,884779,24571,2417134,1532355,187,80,0,80,0,141,29,1,0,0,5,7,3,5,9,38,57,37,1,24.77,,,,,,
2014,86076,University of Virginia Patent Foundation,Yes,Charlottesville,VA,5U,358576000,53,205865000,16040000,1706257,1379570,448,17,4,28,17,8,89,30,47,6,0,94667,1,198,141,2090325,30164,3595592,1410600,176,124,0,124,0,169,38,12,,,8,8,4,5.5,8.5,38,57,37,1,24.77,,,,,,
2013,86076,University of Virginia Patent Foundation,Yes,Charlottesville,VA,5U,386828000,59,225567000,16950000,1462906,938035,400,13,6,20,34,5,57,36,49,10,0,86800,0,210,93,728438,134702,2066416,1251178,162,150,34,71,45,116,28,,57,0,4,4,4,5.5,10.5,38,57,37,1,24.77,,,,,,
2012,86076,University of Virginia Patent Foundation,Yes,Charlottesville,VA,5U,383359000,41,240254000,15173000,3033391,1691557,392,14,6,23,4,14,48,19,33,8,0,1306840,2,179,132,526145,13278,5422082,3589097,148,239,82,95,62,157,33,,53,0,5,5,3,5,10,38,57,37,1,24.77,,,,,,
2011,86076,University of Virginia Patent Foundation,Yes,Charlottesville,VA,5U,292106000,58,232525000,13848000,3600780,1897645,402,24,6,32,9,17,102,23,47,11,0,0,2,195,148,764984,101151,6891374,6126390,141,219,63,122,34,156,37,1,48,3,6,6,1,6,10,38,57,37,1,24.77,,,,,,
2010,86076,University of Virginia Patent Foundation,Yes,Charlottesville,VA,5U,276308000,42,228917000,25871000,2999202,1475871,393,19,4,24,7,11,76,20,39,3,,0,2,194,138,2153482,74721,5206704,3053222,139,233,62,121,50,185,21,,44,3,3,6,1,7,9,38,57,37,1,24.77,,,,,,
2015,89406,Boise State University,No,Boise,ID,5U,31341544,40,18295799,247425,114126,0,55,2,0,37,1,2,5,36,38,2,0,0,0,28,2,20573,0,21475,902,15,6,0,4,4,12,3,3,1,0,0,0,0,1,0,44,99,45,1,23.76,34.9,110099,108181,218280,16004,13409
2014,89406,Boise State University,No,Boise,ID,5U,26567923,27,15746323,216282,123010,5696,43,2,0,25,2,0,4,25,27,0,0,0,0,20,2,5600,0,5600,0,16,8,0,7,1,11,6,1,1,0,0,0,0,1,0,44,99,45,1,23.76,34.9,110099,108181,218280,16004,13409
2013,89406,Boise State University,No,Boise,ID,5U,25691428,22,16117216,240126,137684,0,26,1,0,0,21,1,5,21,22,0,0,0,0,22,1,33582,0,37582,4000,24,16,0,7,9,16,7,,1,0,0,0,0,1,1,44,99,45,1,23.76,34.9,110099,108181,218280,16004,13409
2012,89406,Boise State University,No,Boise,ID,5U,27919757,15,20070730,366740,152374,0,18,0,0,0,14,1,6,13,13,2,0,0,0,9,1,34471,0,35471,1000,25,18,1,7,10,17,2,1,1,0,1,1,0,1,1,44,99,45,1,23.76,34.9,110099,108181,218280,16004,13409
2011,89406,Boise State University,No,Boise,ID,5U,24204099,12,18811180,403914,85746,0,17,0,0,0,12,0,4,12,12,0,0,0,0,1,0,500,0,500,0,23,8,0,2,6,8,7,1,0,0,0,0,0,1,1,44,99,45,1,23.76,34.9,110099,108181,218280,16004,13409
