YEAR,[ID],INSTITUTION,MEDSCHL,City,STATE,INSTTYPE,Tot Res Exp,Tot Lic/Opt Exe,Fed Res Exp,Ind Res Exp,Leg Fees,Reimb Leg Fee,Act Lic,Excl Lic/Opt.,Lic w Equ,Tot Lic Lg Co,Tot Lic Sm Co,Tot Lic St-Ups,Tot Discl Lic,Non-Excl Lic/Opt,Lic Iss,Opt Iss,NEWCOMPSUPP,Lic Inc Equ,Lic $1mm+,Lic Gen Inc,Lic Gen Run Roy,Lic Inc Other,Lic Inc Pd Oth,Gross Lic Inc,Lic Inc Run Roy,Inv Dis Rec,New Pat App Fld,For. Pat App Fld,Pro Pat App Fld,Util Pat App Fld,Tot Pat App Fld,Iss US Pat,New Prod,Cum Op St-Ups,St-Ups Cld,St-Ups in Home St,St-Ups Formed,St-Ups w Equ,Lic FTEs,Oth FTEs,Transit Score,Bike Score,AirQualityIndex,Airports,Crime Rate,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born
2012,71405,Dartmouth College,Yes,Hanover,NH,5U,130907899,7,118560390,12347509,1137776,287009,113,3,0,2,5,0,8,3,6,1,5,70175,2,69,55,16755057,9932,17225206,399974,70,49,0,47,2,132,23,0,17,0,1,2,1,2,2.5,,80,29,3,9.78,,,,,,
2011,71405,Dartmouth College,Yes,Hanover,NH,5U,129009772,6,119893093,9116679,1121985,256034,122,2,1,1,2,3,9,1,3,3,0,350000,2,87,65,5827695,42377,6474957,297262,56,39,0,39,0,82,21,,15,1,2,2,1,2,2.5,,80,29,3,9.78,,,,,,
2010,71405,Dartmouth College,Yes,Hanover,NH,5U,143955424,9,109341798,8140835,1070083,409392,131,3,0,3,5,1,9,6,9,0,0,0,0,85,63,1841479,34416,2335506,494027,48,31,0,31,0,83,15,0,14,0,1,1,0,2,2,,80,29,3,9.78,,,,,,
2015,71435,Duke University,Yes,Durham,NC,5U,898699000,162,559217000,240640000,4543831,1538138,1108,56,26,95,34,33,164,98,154,8,,1124142,3,289,104,8347011,604183,36765244,27294091,229,141,0,141,0,258,79,24,75,1,4,7,5,9.2,14.8,28,38,37,1,51.85,33.2,121153,136445,257598,12528,38642
2014,71435,Duke University,Yes,Durham,NC,5U,898148000,135,557969000,252366000,3773530,1403113,973,42,5,92,38,5,159,85,127,8,0,2473850,6,272,101,7942013,1542861,35866260,25450397,162,138,0,138,0,305,49,61,69,1,3,6,5,9.6,14.6,28,38,37,1,51.85,33.2,121153,136445,257598,12528,38642
2013,71435,Duke University,Yes,Durham,NC,5U,806048885,132,481464074,297145753,3805349,1170316,866,35,16,82,36,14,181,93,128,4,,1501889,4,260,102,5273611,286848,29202127,22426627,218,148,0,143,5,250,41,17,64,3,7,9,5,9.3,14.7,28,38,37,1,51.85,33.2,121153,136445,257598,12528,38642
2012,71435,Duke University,Yes,Durham,NC,5U,840113651,123,491327781,236366095,4179765,1624911,799,34,9,65,40,18,143,81,115,8,,436893,2,256,99,2540222,187096,24590271,21613156,215,113,0,110,3,280,50,17,58,1,3,6,6,9.3,16.2,28,38,37,1,51.85,33.2,121153,136445,257598,12528,38642
2011,71435,Duke University,Yes,Durham,NC,5U,854368058,102,523063348,229806636,4876814,2231186,743,32,12,66,22,14,97,61,93,9,0,5087926,4,216,83,2550896,181951,24481478,16842656,253,111,0,109,2,265,52,27,53,2,4,5,3,10.4,16.3,28,38,37,1,51.85,33.2,121153,136445,257598,12528,38642
2010,71435,Duke University,Yes,Durham,NC,5U,826993375,99,482024803,265748583,3868220,1631600,738,30,10,42,41,16,97,63,93,6,0,2208535,3,213,91,10221309,127956,25733526,13303682,214,125,0,120,5,282,43,23,50,1,2,5,3,9.6,16.2,28,38,37,1,51.85,33.2,121153,136445,257598,12528,38642
2015,71441,East Carolina University,Yes,Greenville,NC,5U,26549000,5,15079000,1733000,224256,8501,21,4,0,0,3,2,8,1,5,0,0,0,0,10,7,81245,0,154818,73573,10,6,0,6,0,13,8,1,5,0,1,2,2,1,2,,43,36,1,46.95,26.2,39897,50691,90588,4283,4183
