[ID],INSTITUTION,City,State,Transit Score,Bike Score,AirQualityIndex,Airports,Crime Rate,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born
85863,University of Florida,Gainesville,FL,,69,27,1,48.21,26,60803,69330,130133,4788,15272
85951,Colorado School of Mines,Golden,CO,,56,44,1,14.58,37.8,54866,58251,113117,6512,11361
95232,University of North Dakota,Grand Forks,ND,,62,36,1,24.53,,,,,,
96031,University of North Carolina at Greensboro,Greensboro,NC,,32,38,1,58.57,35.5,132251,153093,285344,14011,26667
71441,East Carolina University,Greenville,NC,,43,36,1,46.95,26.2,39897,50691,90588,4283,4183
20120293,Hackensack University Medical Center,Hackensack,NJ,56,49,46,3,34.25,38.5,41932,44409,86341,2603,27979
71405,Dartmouth College,Hanover,NH,,80,29,3,9.78,,,,,,
20160308,University of Southern Mississippi,Hattiesburgh,MS,,48,37,1,58.95,,,,,,
95166,Stevens Institution of Technology,Hoboken,NJ,74,78,47,3,24.46,35.4,35376,33773,69149,705,40553
72371,University of Hawaii,Honolulu,HI,56,51,20,1,25.47,,,,,,
71847,Michigan TechNological University,Houghton,MI,,51,28,1,13.18,,,,,,
81039,Baylor College of Medicine,Houston,TX,36,49,44,3,58.01,32.6,1149686,1148942,2298628,71898,696210
72104,Rice University,Houston,TX,36,49,44,3,58.01,32.6,1149686,1148942,2298628,71898,696210
72372,University of Houston,Houston,TX,36,49,44,3,58.01,32.6,1149686,1148942,2298628,71898,696210
72342,University of Alabama in Huntsville,Huntsville,AL,11,40,39,1,33.74,38.1,91764,97350,189114,16637,12691
92675,University of Iowa Research Foundation,Iowa City,IA,,66,41,1,30.03,25.5,37089,37138,74227,2047,9202
97017,Boyce Thompson Institution for Plant Research,Ithaca,NY,,58,39,1,25.31,,,,,,
71385,Cornell University,Ithaca,NY,,58,39,1,25.31,,,,,,
82857,University of North Florida,Jacksonville,FL,21,41,29,1,49.75,35.7,419203,448828,868031,75432,85650
95090,Kent State University,Kent,OH,,48,43,1,34.13,38.1,96886,100667,197553,12878,10024
72424,University of Rhode Island,Kingston,RI,,38,37,1,27.35,39.9,38365,42712,81077,4702,10631
72438,University of Tennessee,Knoxville,TN,27,30,41,1,58.11,33.1,89978,95334,185312,10897,10285
20140301,University of Louisiana at Lafayette,Lafayette,LA,,47,38,1,47.44,31.7,64018,63643,127661,5206,5396
95118,New Mexico State University,Las Cruces,NM,,46,37,1,48.21,32.7,47835,53809,101644,9421,11888
94012,Johns Hopkins University Applied Physics Laboratory,Laurel,MD,32,40,42,1,42.24,33.8,40601,41862,82463,1562,30908
92679,University of Kansas,Lawrence,KS,35,61,44,1,34.95,27.4,45592,48324,93916,2986,8701
72379,University of Kentucky Research Foundation,Lexington,KY,27,46,46,1,37.88,34.4,154032,160456,314488,16661,28613
20100289,NUtech Ventures,Lincoln,NE,24,59,41,1,30.29,32.3,138544,138802,277346,14694,22958
82984,University of Nebraska,Lincoln,NE,24,59,41,1,30.29,32.3,138544,138802,277346,14694,22958
94410,University of Arkansas for Medical Sciences,Little Rock,AR,19,32,48,1,59.14,36.6,96997,100989,197986,12343,16640
20140304,Lawrence Livermore National Laboratory,Livermore,CA,,66,68,3,20.08,36.7,41522,46595,88117,3063,13959
72010,Utah State University,Logan,UT,,51,41,1,22.43,,,,,,
71326,Cedars-Sinai Medical Center,Los Angeles,CA,53,59,73,3,30.51,35,1958998,2012898,3971896,85417,1485425
92748,Childrens Hospital Los Angeles,Los Angeles,CA,53,59,73,3,30.51,35,1958998,2012898,3971896,85417,1485425
95038,City of Hope National Medical Center & Beckman Research  Institution,Los Angeles,CA,53,59,73,3,30.51,35,1958998,2012898,3971896,85417,1485425
20000011,Keck Graduate Institution of Applied Life Sciences,Los Angeles,CA,53,59,73,3,30.51,35,1958998,2012898,3971896,85417,1485425
72432,University of Southern California,Los Angeles,CA,53,59,73,3,30.51,35,1958998,2012898,3971896,85417,1485425
71648,University of Louisville,Louisville,KY,56,79,46,1,64.34,37.5,298451,316938,615389,39364,37875
99018,W.A.R.F./University of Wisconsin-Madison,Madison,WI,35,66,40,1,33.1,30.7,122596,126360,248956,9707,30090
98001,WiSys TechNology Foundation,Madison,WI,35,66,40,1,33.1,30.7,122596,126360,248956,9707,30090
71717,Kansas State University Research Foundation,Manhattan,KS,,54,44,1,36.16,27.4,45592,48324,93916,2986,8701
92615,Tufts University,Medford,MA,48,59,35,3,25.11,31,41028,39306,80334,2103,22292
100083,St. Jude Children's Research Hospital,Memphis,TN,22,41,45,1,81.14,34.1,312237,343523,655760,31189,43318
20100276,University of Memphis,Memphis,TN,22,41,45,1,81.14,34.1,312237,343523,655760,31189,43318
2000008,Florida International University,Miami,FL,57,64,34,3,54.37,40.4,215840,225149,440989,7233,260789
96044,Blood Center of Wisconsin,Milwaukee,WI,49,58,42,1,63.46,31.6,286315,313839,600154,20615,58321
72579,Marquette University,Milwaukee,WI,49,58,42,1,63.46,31.6,286315,313839,600154,20615,58321
71822,Medical College of Wisconsin Research Foundation,Milwaukee,WI,49,58,42,1,63.46,31.6,286315,313839,600154,20615,58321
95263,University of Wisconsin-Milwaulkee,Milwaukee,WI,49,58,42,1,63.46,31.6,286315,313839,600154,20615,58321
72390,University of Minnesota,Minneapolis,MN,55,83,41,1,54.24,32.4,206547,204388,410935,15217,70769
20120295,Salish Kootenai College,Missoula,MT,34,60,40,1,42.82,34.7,35002,36022,71024,4733,2771
95222,University of Montana,Missoula,MT,34,60,40,1,42.82,34.7,35002,36022,71024,4733,2771
72428,University of South Alabama,Mobile,AL,,34,36,1,58.14,38,91275,103030,194305,11939,7234
72518,West Virginia University,Morgantown,WV,,40,39,1,42.42,,,,,,
72373,University of Idaho,Moscow,ID,,58,36,1,24.14,,,,,,
95008,Ball State University,Muncie,IN,,53,41,1,53.6,27.4,32446,37255,69701,2968,1062
92609,Vanderbilt University,Nashville,TN,74,72,42,1,57.71,34.1,314231,340365,654596,27942,88193
95150,Rutgers The State University of New Jersey,New Brunswick,NJ,35,60,46,3,45.49,39.7,32705,33598,66303,2225,21899
72320,Tulane University,New Orleans,LA,44,66,41,1,75.79,35.9,185736,203881,389617,17388,21679
71137,Albert Einstein College of Medicine,New York,NY,89,69,45,3,28.29,36,4081698,4468707,8550405,156961,3212500
92633,Columbia University,New York,NY,89,69,45,3,28.29,36,4081698,4468707,8550405,156961,3212500
95073,Hospital for Special Surgery,New York,NY,89,69,45,3,28.29,36,4081698,4468707,8550405,156961,3212500
92617,Memorial Sloan Kettering Cancer Center,New York,NY,89,69,45,3,28.29,36,4081698,4468707,8550405,156961,3212500
94788,Mount Sinai School of Medicine of NYU,New York,NY,89,69,45,3,28.29,36,4081698,4468707,8550405,156961,3212500
95119,New York Blood Center,New York,NY,89,69,45,3,28.29,36,4081698,4468707,8550405,156961,3212500
71940,New York University,New York,NY,89,69,45,3,28.29,36,4081698,4468707,8550405,156961,3212500
95149,Rockefeller University,New York,NY,89,69,45,3,28.29,36,4081698,4468707,8550405,156961,3212500
95160,Sloan Kettering Institution for Cancer Research,New York,NY,89,69,45,3,28.29,36,4081698,4468707,8550405,156961,3212500
95116,New Jersey Institution of Technology,Newark,NJ,65,51,46,3,69.21,34.6,138040,143873,281913,5829,86253
72361,University of Delaware,Newark,DE,27,61,42,3,58.46,,,,,,
96010,Eastern Virginia Medical School,Norfolk,VA,36,47,38,1,63.62,30.2,128917,117476,246393,29445,16702
96020,Old Dominion University,Norfolk,VA,36,47,38,1,63.62,30.2,128917,117476,246393,29445,16702
95081,Illinois State University,Normal,IL,35,51,43,1,20.23,35.1,37972,40323,78295,3888,7287
95036,Children's Hospital Oakland Research Institution,Oakland,CA,57,65,75,3,77.93,35.7,203827,215451,419278,12159,113896
95049,Creighton University,Omaha,NE,24,42,42,1,42.6,34.2,218789,225098,443887,24503,48263
95189,University of Central Florida,Orlando,FL,33,57,32,1,57.73,33.1,130940,139977,270917,12782,50558
95208,University of Maine,Orono,ME,,41,27,1,15.83,,,,,,
95105,Miami University,Oxford,OH,18,53,44,1,14.1,32.7,143654,154883,298537,13699,16896
95220,University of Mississippi,Oxford,MS,,37,37,1,25.49,,,,,,
